101m Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1faz Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fb2 Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1fbo Sequence Parse Errors: 49; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 0
1fbq Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 4
1fbs Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 4
1fbu Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 4
1fbw Sequence Parse Errors: 49; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 0
1fby Sequence Parse Errors: 38; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 14
1fc2 Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fc3 Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 12
1fce Sequence Parse Errors: 49; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1fch Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 28
1fcx Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 7
1fcy Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 7
1fcz Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 7
1fd0 Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 7
1fdk Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1fe2 Sequence Parse Errors: 45; Helix Parse Errors: 0; Helix Extraction Errors: 23; Helix to Digit Errors: 6
1fe5 Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1few Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fex Sequence Parse Errors: 6; Helix Parse Errors: 1; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1ff1 Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ffh Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1ffk Sequence Parse Errors: 539; Helix Parse Errors: 1; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ffy Sequence Parse Errors: 77; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 0
1fg9 Sequence Parse Errors: 79; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1fgj Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 50; Helix to Digit Errors: 0
1fgm Sequence Parse Errors: 65; Helix Parse Errors: 0; Helix Extraction Errors: 33; Helix to Digit Errors: 0
1fgo Sequence Parse Errors: 65; Helix Parse Errors: 0; Helix Extraction Errors: 33; Helix to Digit Errors: 0
1fgq Sequence Parse Errors: 65; Helix Parse Errors: 0; Helix Extraction Errors: 35; Helix to Digit Errors: 0
1fgr Sequence Parse Errors: 65; Helix Parse Errors: 0; Helix Extraction Errors: 36; Helix to Digit Errors: 0
1fgt Sequence Parse Errors: 65; Helix Parse Errors: 0; Helix Extraction Errors: 35; Helix to Digit Errors: 0
1fha Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fhe Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1fhf Sequence Parse Errors: 72; Helix Parse Errors: 0; Helix Extraction Errors: 30; Helix to Digit Errors: 0
1fhj Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 21; Helix to Digit Errors: 10
1fi3 Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1fi5 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fi6 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fi7 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1fi9 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1fia Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fin Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 34; Helix to Digit Errors: 16
1fio Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 1
1fiq Sequence Parse Errors: 103; Helix Parse Errors: 0; Helix Extraction Errors: 29; Helix to Digit Errors: 0
1fjg Sequence Parse Errors: 323; Helix Parse Errors: 0; Helix Extraction Errors: 48; Helix to Digit Errors: 32
1fjl Sequence Parse Errors: 27; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 6
1fk0 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fk1 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fk2 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fk3 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fk4 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fk5 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fk6 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fk7 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fkm Sequence Parse Errors: 31; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 10
1fli Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 1
1flo Sequence Parse Errors: 144; Helix Parse Errors: 1; Helix Extraction Errors: 34; Helix to Digit Errors: 0
1flp Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fm6 Sequence Parse Errors: 88; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 25
1fm9 Sequence Parse Errors: 44; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 14
1fmi Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 10
1fn3 Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 30; Helix to Digit Errors: 2
1fn7 Sequence Parse Errors: 31; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1fnn Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1fo2 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 11
1fo3 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 11
1fo4 Sequence Parse Errors: 206; Helix Parse Errors: 0; Helix Extraction Errors: 73; Helix to Digit Errors: 0
1foc Sequence Parse Errors: 22; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1foe Sequence Parse Errors: 172; Helix Parse Errors: 0; Helix Extraction Errors: 73; Helix to Digit Errors: 37
1fok Sequence Parse Errors: 49; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 0
1fow Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fox Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1foy Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1fp1 Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1fp2 Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 0
1fp3 Sequence Parse Errors: 62; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1fpo Sequence Parse Errors: 42; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1fpp Sequence Parse Errors: 63; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 13
1fpq Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1fps Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fpw Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1fpx Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 0
1fqi Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 5
1fqj Sequence Parse Errors: 78; Helix Parse Errors: 0; Helix Extraction Errors: 32; Helix to Digit Errors: 18
1fqk Sequence Parse Errors: 74; Helix Parse Errors: 0; Helix Extraction Errors: 33; Helix to Digit Errors: 18
1fqv Sequence Parse Errors: 304; Helix Parse Errors: 0; Helix Extraction Errors: 121; Helix to Digit Errors: 48
1fr0 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 3
1fr2 Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 1
1fs0 Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 4
1fs1 Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 6
1fs2 Sequence Parse Errors: 64; Helix Parse Errors: 0; Helix Extraction Errors: 30; Helix to Digit Errors: 14
1fs7 Sequence Parse Errors: 38; Helix Parse Errors: 0; Helix Extraction Errors: 23; Helix to Digit Errors: 4
1fs8 Sequence Parse Errors: 38; Helix Parse Errors: 0; Helix Extraction Errors: 23; Helix to Digit Errors: 4
1fs9 Sequence Parse Errors: 39; Helix Parse Errors: 0; Helix Extraction Errors: 23; Helix to Digit Errors: 0
1fse Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1fsh Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1fsl Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fsx Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 19; Helix to Digit Errors: 14
1ft1 Sequence Parse Errors: 63; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 9
1ft2 Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 21
1ft5 Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1ft6 Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1ft9 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1fts Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 8
1ftt Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1ftz Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fuo Sequence Parse Errors: 72; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 0
1fup Sequence Parse Errors: 74; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 0
1fuq Sequence Parse Errors: 74; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 0
1fur Sequence Parse Errors: 72; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 0
1fv0 Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1fvv Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 30; Helix to Digit Errors: 13
1fw1 Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1fw4 Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 2
1fw6 Sequence Parse Errors: 124; Helix Parse Errors: 0; Helix Extraction Errors: 25; Helix to Digit Errors: 18
1fx0 Sequence Parse Errors: 78; Helix Parse Errors: 0; Helix Extraction Errors: 21; Helix to Digit Errors: 5
1fx7 Sequence Parse Errors: 72; Helix Parse Errors: 0; Helix Extraction Errors: 29; Helix to Digit Errors: 0
1fx9 Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1fxf Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1fxk Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 2
1fyh Sequence Parse Errors: 76; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 10
1fyj Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1fyk Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 2
1fyl Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 4
1fym Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 4
1fyz Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 66; Helix to Digit Errors: 31
1fz0 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 69; Helix to Digit Errors: 30
1fz1 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 66; Helix to Digit Errors: 30
1fz2 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 64; Helix to Digit Errors: 32
1fz3 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 63; Helix to Digit Errors: 32
1fz4 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 65; Helix to Digit Errors: 32
1fz5 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 67; Helix to Digit Errors: 29
1fz6 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 67; Helix to Digit Errors: 31
1fz7 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 65; Helix to Digit Errors: 32
1fz8 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 68; Helix to Digit Errors: 31
1fz9 Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 61; Helix to Digit Errors: 31
1fzh Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 69; Helix to Digit Errors: 31
1fzi Sequence Parse Errors: 170; Helix Parse Errors: 0; Helix Extraction Errors: 65; Helix to Digit Errors: 32
1fzp Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1g03 Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1g08 Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 10
1g09 Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 19; Helix to Digit Errors: 10
1g0a Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 10
1g0b Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 6
1g0v Sequence Parse Errors: 30; Helix Parse Errors: 1; Helix Extraction Errors: 9; Helix to Digit Errors: 2
1g0w Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1g0z Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1g1e Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 2
1g1u Sequence Parse Errors: 76; Helix Parse Errors: 1; Helix Extraction Errors: 25; Helix to Digit Errors: 29
1g1x Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 9
1g2h Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1g2n Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 5
1g2x Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1g2y Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1g2z Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1g33 Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 2
1g39 Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1g3j Sequence Parse Errors: 92; Helix Parse Errors: 0; Helix Extraction Errors: 41; Helix to Digit Errors: 31
1g3n Sequence Parse Errors: 118; Helix Parse Errors: 0; Helix Extraction Errors: 48; Helix to Digit Errors: 21
1g3s Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1g3t Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 5
1g3w Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1g3y Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1g4d Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 2
1g4i Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1g4u Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 12
1g4w Sequence Parse Errors: 31; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 7
1g4y Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 4
1g50 Sequence Parse Errors: 57; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 22
1g59 Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 28; Helix to Digit Errors: 0
1g5n Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1g5y Sequence Parse Errors: 76; Helix Parse Errors: 1; Helix Extraction Errors: 28; Helix to Digit Errors: 29
1g5z Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 3
1g6i Sequence Parse Errors: 42; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1g6n Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 3
1g6w Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 40; Helix to Digit Errors: 22
1g6y Sequence Parse Errors: 42; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 11
1g72 Sequence Parse Errors: 102; Helix Parse Errors: 0; Helix Extraction Errors: 33; Helix to Digit Errors: 0
1g73 Sequence Parse Errors: 47; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1g7d Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 5
1g7o Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1g87 Sequence Parse Errors: 96; Helix Parse Errors: 0; Helix Extraction Errors: 24; Helix to Digit Errors: 0
1g8e Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1g8i Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1g8q Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 6
1g9g Sequence Parse Errors: 49; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 0
1g9j Sequence Parse Errors: 49; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 0
1g9l Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1g9v Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 17
1ga2 Sequence Parse Errors: 96; Helix Parse Errors: 0; Helix Extraction Errors: 26; Helix to Digit Errors: 0
1ga3 Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1gab Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1gah Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1gai Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1gak Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1gax Sequence Parse Errors: 146; Helix Parse Errors: 0; Helix Extraction Errors: 35; Helix to Digit Errors: 0
1gbu Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 8
1gbv Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 8
1gc6 Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1gc7 Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1gcj Sequence Parse Errors: 72; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 38
1gcv Sequence Parse Errors: 44; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 10
1gcw Sequence Parse Errors: 44; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 10
1gdd Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1gdi Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1gdj Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1gdk Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1gdl Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1gdt Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1gdv Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1geb Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1ged Sequence Parse Errors: 31; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1gei Sequence Parse Errors: 31; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1gej Sequence Parse Errors: 31; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1gek Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1gem Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 0
1gfi Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1gg2 Sequence Parse Errors: 61; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 3
1gg3 Sequence Parse Errors: 66; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1ggq Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 12
1ggw Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ggz Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1gh1 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1gh4 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1gh6 Sequence Parse Errors: 35; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 8
1ghq Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1gia Sequence Parse Errors: 41; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1gil Sequence Parse Errors: 45; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1git Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1giw Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1gjj Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1gjm Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1gjn Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1gjq Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 0
